audio_file,ground_truth,whisper_transcription,WER,CER,SER,Substitutions,Deletions,Insertions
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_1_es.wav,La presión arterial diastólica más baja registrada este mes fue de 68 mmHg el 8 de octubre.,La presión arterial diastólica más baja registrada este mes fue de 68MILILMETROFMGRCUR y el 8 de octubre.,0.1176,0.1889,1,2,0,0
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_2_es.wav,"La presión arterial sistólica más alta registrada es de 158 mmHg y la más baja es de 110 mmHg. En cuanto a la presión arterial diastólica, la más alta es de 105 mmHg y la más baja es de 68 mmHg.","La presión arterial sistólica más alta registrada es de 1,5,8MI, LLI, MET, RO, FM, RCUR, y la más baja es de 1,1,0MI, LLI, MET, RO, FM, RCUR, RL. En cuanto a la presión arterial diastólica, la más alta es de 1,0,5MI, LLI, MET, RO, FM, RCUR, y la más baja es de 6,8MI, LL, MET, RO, FM, RCUR,",0.6098,0.3874,1,8,0,17
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_3_es.wav,"La lectura máxima de presión arterial sistólica este mes es de 158 mmHg, y la mínima es de 110 mmHg. Para la presión arterial diastólica, la máxima es de 105 mmHg y la mínima es de 68 mmHg.","La lectura máxima de presión arterial sistólica este mes es de 1,58 mll, emgdr ofm, grcur, y la mínima es de 1,10 mll, emgdr ofm, grcur, para la presión arterial diastólica. La máxima es de 1,05MI, LLIEM, ETR, OFM, GRCUR, YLA mínima es de 6,8MI, LLIEM, ETR, OFM, GRCUR.",0.5,0.373,1,8,0,11
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_4_es.wav,Su presión arterial sistólica hoy es de 116 mmHg y su presión arterial diastólica es de 73 mmHg.,"Supresión arterial sistólica hoy es de 1,1,6 M-I-L-L-I-M-E-T-E-R-O-G-F-M-G-R-C-U-R-E y supresión arterial diastólica es de 7,3 M-I-L-L-I-M-E-T-E-R-O-G-F-M-R-C-U-R-E-E",0.3333,0.3789,1,4,2,0
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_5_es.wav,"Tus lecturas de presión arterial durante la última semana (del 13 al 20 de octubre) fueron las siguientes: El 13 de octubre, fue de 143/99 mmHg (hipertensiva); el 14 de octubre, fue de 149/102 mmHg (hipertensiva); el 15 de octubre, fue de 114/75 mmHg (normal); el 16 de octubre, fue de 144/87 mmHg (hipertensiva); el 17 de octubre, fue de 120/77 mmHg (normal); el 18 de octubre, fue de 118/75 mmHg (normal); el 19 de octubre, fue de 110/74 mmHg (normal); y el 20 de octubre, fue de 116/73 mmHg (normal).","tus lecturas de presión arterial durante la última semana, del 13 al veinte de octubre. Fueron las siguientes, el 13 de octubre, fue de 1.4399MIELLIIMETRHOMRCEURRL Y pertenciva, el 14 de octubre, fue de 1.491.012MIELLIIMETRHOMRCEURRL Y pertenciva, el 15 de octubre, Fue de uno, uno, cuatro, siete, cinco, M y L, L, Gu y M, E, T, R o, G, F, M, R, C, U, R, L. Normal, el 16 de octubre, Fue de uno, cuatro, cuatro, ocho, siete, M y L, L, Gu y M, E, T, R o, G, F, M, R, C, U, R, L. Y pertenciva, el 17 de octubre, Fue de uno, dos, ciete, siete, M y L, L, Gu y M, E, T, R o, G, F, M, R, C, U, R, L. Normal, el 18 de octubre, Fue de uno, uno, ocho, siete, cinco, M y L, L, Gu y M, E, T, R o, G, F, M, R, C, U, R, L. Normal, el 19 de octubre, Fue de uno, uno, cero, siete, cuatro, M y L, L, Gu y M, E, T, R o, G, F, M, R, C, U, R, L. Normal, y el 20 de octubre, Fue de uno, uno, seis, siete, tres, M y L, L, Gu y M, E, T, R o, G, F, M, R, C, U, R, L. Normal.",1.6703,0.8891,1,20,0,132
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_6_es.wav,"Este mes, tus lecturas de presión arterial muestran una mezcla de categorías normales e hipertensivas. Tuviste varios días con lecturas normales, especialmente en la primera mitad del mes, pero también hubo múltiples días clasificados como hipertensivos, sobre todo hacia la mitad y el final del mes. En general, parece que tu presión arterial ha fluctuado, con una tendencia hacia lecturas más altas en la parte final del mes.","Este mes, tus lecturas de presión arterial muestran una mezcla de categorías normales y pertencivas. Tu viste varios días con lecturas normales, especialmente en la primera mitad del mes, pero también hubo múltiples días clasificados como hipertensivos. Sobre todo hacia la mitad y el final del mes. En general, parece que tu presión arterial ha fluctuado. En una tendencia hacia lecturas más altas en la parte final del mes.",0.0735,0.0167,1,4,0,1
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_7_es.wav,"Para una persona de 77 años, la presión arterial normal se considera generalmente alrededor de 120/80 mmHg. Sin embargo, es importante tener en cuenta que las condiciones de salud individuales pueden afectar lo que se considera normal. Según la Asociación Americana del Corazón, la presión arterial normal se define como una presión sistólica menor de 120 mmHg y una presión diastólica menor de 80 mmHg.","para una persona de 77 años. La presión arterial normal se considera generalmente alrededor de 1, 2, 0, 8, 0, M, I, L, I, M, E, T, R, O, F, M, E, R, C, U, R, Y. Sin embargo, es importante tener en cuenta que las condiciones de salud individuales pueden afectar lo que sea. Considera normal. Según la asociación americana del corazón. La presión arterial normal se define como una presión systólica menor de 1, 2, 0, M, I, L, I, M, G, T, R, O, F, M, R, C, U, R, I, I, I, I, I, E, I, I, I, I, I, R, O, F, M, R, I, R, C, U, R, I, I, L.",1.0154,0.25,1,14,0,52
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_8_es.wav,Tu presión arterial el 10 de octubre fue de 127/74 mmHg.,"Tu presión arterial el 10 de octubre fue de 1, 2, 7, 7, 4, M y L, L, I, M, E, T, R, O, F, M, R, C, U, R, L.",2.0,0.6481,1,2,0,20
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_9_es.wav,Tu presión arterial sistólica el 12 de octubre fue de 157 mmHg.,"Tu presión arterial sistólica el 12 de octubre fue de 1,5,7 mm y el el IMGTROFMGRCURL.",0.4167,0.3548,1,1,0,4
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_10_es.wav,Tu presión arterial diastólica el 30 de septiembre fue de 71 mmHg.,"Tu presión arterial diastólica, el 30 de septiembre, fue de 7.1, M-I-L-L-I-M-G-R-O-G-F-M-R-C-U-R-L.",0.0833,0.2154,1,1,0,0
/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_11_es.wav,"Su presión arterial sistólica superó los 140 mm Hg en varios días: 24 de septiembre, 25 de septiembre, 26 de septiembre, 4 de octubre, 11 de octubre, 12 de octubre y 13 de octubre.","su presión arterial sistólica superó los 140 milímetros HG en varios días. 24 de septiembre, 25 de septiembre, 26 de septiembre, 4 de octubre, 11 de octubre, 12 de octubre y 13 de octubre.",0.0294,0.0462,1,1,0,0
