audio_file,spanish_transcription,english_translation,language_detected
q10_es.wav,¿Cuál fue la presión arterial diastólica más baja registrada este mes?,What was the lowest recorded diastolic blood pressure this month?,es
q11_es.wav,Muestrame los valores histólicos más altos y más bajos registrados hasta ahora.,"""Show me the highest and lowest historical values recorded so far.""",es
q12_es.wav,¿Cuál es el máximo y el mínimo de presión arterial diastólica y psistólica este mes?,What are the maximum and minimum diastolic and systolic blood pressure readings this month?,es
q1_es.wav,¿Cuáles son mis presiones arteriales histólica y diastólica hoy?,What are my systolic and diastolic blood pressures today?,es
q2_es.wav,¿Cuáles fueron mis lecturas de presión arterial durante la última semana?,What were my blood pressure readings over the last week?,es
q3_es.wav,¿Cuál es la tendencia general de mi presión arterial este mes?,What is the general trend of my blood pressure this month?,es
q4_es.wav,¿Cuáles son los rango normales de presión arterial para una persona de mi edad?,What are the normal blood pressure ranges for a person my age?,es
q5_es.wav,¿Cuál era mi presión arterial el 10 de octubre?,What was my blood pressure on October 10th?,es
q6_es.wav,¿Cuál era mi presión arterial systólica el 12 de octubre?,What was my systolic blood pressure on October 12th?,es
q7_es.wav,¿Cuál era mi presión arterial diastólica el 30 de septiembre?,What was my diastolic blood pressure on September 30th?,es
q8_es.wav,En que día mi presión sistólica superó los 140 mm HG?,On what day did my systolic blood pressure exceed 140 mm Hg?,es
q9_es.wav,Compare mi presión arterial promedio desde la primera semana hasta la última semana de este mes.,"""Compare my average blood pressure from the first week to the last week of this month.""",es
