question_number,audio_file_in,spanish_question,english_question,english_answer,spanish_answer,audio_file,computed_fields
1,q10_es.wav,¿Cuál fue la presión arterial diastólica más baja registrada este mes?,What was the lowest recorded diastolic blood pressure this month?,The lowest recorded diastolic blood pressure this month was 68 mmHg on October 8.,La presión arterial diastólica más baja registrada este mes fue de 68 mmHg el 8 de octubre.,/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_1_es.wav,"{""lowest_diastolic_mmHg"": 68}"
2,q11_es.wav,Muestrame los valores histólicos más altos y más bajos registrados hasta ahora.,"""Show me the highest and lowest historical values recorded so far.""","The highest systolic blood pressure recorded is 158 mmHg, and the lowest is 110 mmHg. For diastolic blood pressure, the highest is 105 mmHg, and the lowest is 68 mmHg.","La presión arterial sistólica más alta registrada es de 158 mmHg y la más baja es de 110 mmHg. En cuanto a la presión arterial diastólica, la más alta es de 105 mmHg y la más baja es de 68 mmHg.",/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_2_es.wav,"{""highest_systolic"": 158, ""lowest_systolic"": 110, ""highest_diastolic"": 105, ""lowest_diastolic"": 68}"
3,q12_es.wav,¿Cuál es el máximo y el mínimo de presión arterial diastólica y psistólica este mes?,What are the maximum and minimum diastolic and systolic blood pressure readings this month?,"The maximum systolic blood pressure reading this month is 158 mmHg, and the minimum is 110 mmHg. For diastolic blood pressure, the maximum is 105 mmHg, and the minimum is 68 mmHg.","La lectura máxima de presión arterial sistólica este mes es de 158 mmHg, y la mínima es de 110 mmHg. Para la presión arterial diastólica, la máxima es de 105 mmHg y la mínima es de 68 mmHg.",/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_3_es.wav,"{""max_systolic_mmHg"": 158, ""min_systolic_mmHg"": 110, ""max_diastolic_mmHg"": 105, ""min_diastolic_mmHg"": 68}"
4,q1_es.wav,¿Cuáles son mis presiones arteriales histólica y diastólica hoy?,What are my systolic and diastolic blood pressures today?,Your systolic blood pressure today is 116 mmHg and your diastolic blood pressure is 73 mmHg.,Su presión arterial sistólica hoy es de 116 mmHg y su presión arterial diastólica es de 73 mmHg.,/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_4_es.wav,"{""systolic_mmHg"": 116, ""diastolic_mmHg"": 73}"
5,q2_es.wav,¿Cuáles fueron mis lecturas de presión arterial durante la última semana?,What were my blood pressure readings over the last week?,"Your blood pressure readings over the last week (from October 13 to October 20) were as follows: On October 13, it was 143/99 mmHg (hypertensive); on October 14, it was 149/102 mmHg (hypertensive); on October 15, it was 114/75 mmHg (normal); on October 16, it was 144/87 mmHg (hypertensive); on October 17, it was 120/77 mmHg (normal); on October 18, it was 118/75 mmHg (normal); on October 19, it was 110/74 mmHg (normal); and on October 20, it was 116/73 mmHg (normal).","Tus lecturas de presión arterial durante la última semana (del 13 al 20 de octubre) fueron las siguientes: El 13 de octubre, fue de 143/99 mmHg (hipertensiva); el 14 de octubre, fue de 149/102 mmHg (hipertensiva); el 15 de octubre, fue de 114/75 mmHg (normal); el 16 de octubre, fue de 144/87 mmHg (hipertensiva); el 17 de octubre, fue de 120/77 mmHg (normal); el 18 de octubre, fue de 118/75 mmHg (normal); el 19 de octubre, fue de 110/74 mmHg (normal); y el 20 de octubre, fue de 116/73 mmHg (normal).",/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_5_es.wav,"{""readings"": [{""date"": ""2025-10-13"", ""systolic_mmHg"": 143, ""diastolic_mmHg"": 99}, {""date"": ""2025-10-14"", ""systolic_mmHg"": 149, ""diastolic_mmHg"": 102}, {""date"": ""2025-10-15"", ""systolic_mmHg"": 114, ""diastolic_mmHg"": 75}, {""date"": ""2025-10-16"", ""systolic_mmHg"": 144, ""diastolic_mmHg"": 87}, {""date"": ""2025-10-17"", ""systolic_mmHg"": 120, ""diastolic_mmHg"": 77}, {""date"": ""2025-10-18"", ""systolic_mmHg"": 118, ""diastolic_mmHg"": 75}, {""date"": ""2025-10-19"", ""systolic_mmHg"": 110, ""diastolic_mmHg"": 74}, {""date"": ""2025-10-20"", ""systolic_mmHg"": 116, ""diastolic_mmHg"": 73}]}"
6,q3_es.wav,¿Cuál es la tendencia general de mi presión arterial este mes?,What is the general trend of my blood pressure this month?,"This month, your blood pressure readings show a mix of normal and hypertensive categories. You had several days with normal readings, particularly in the first half of the month, but there were also multiple days classified as hypertensive, especially towards the middle and end of the month. Overall, it appears that your blood pressure has fluctuated, with a tendency towards higher readings in the latter part of the month.","Este mes, tus lecturas de presión arterial muestran una mezcla de categorías normales e hipertensivas. Tuviste varios días con lecturas normales, especialmente en la primera mitad del mes, pero también hubo múltiples días clasificados como hipertensivos, sobre todo hacia la mitad y el final del mes. En general, parece que tu presión arterial ha fluctuado, con una tendencia hacia lecturas más altas en la parte final del mes.",/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_6_es.wav,"{""normal_readings"": 12, ""hypertensive_readings"": 8, ""total_readings"": 20}"
7,q4_es.wav,¿Cuáles son los rango normales de presión arterial para una persona de mi edad?,What are the normal blood pressure ranges for a person my age?,"For a 77-year-old, normal blood pressure is generally considered to be around 120/80 mmHg. However, it's important to note that individual health conditions can affect what is considered normal. According to the American Heart Association, normal blood pressure is defined as systolic less than 120 mmHg and diastolic less than 80 mmHg.","Para una persona de 77 años, la presión arterial normal se considera generalmente alrededor de 120/80 mmHg. Sin embargo, es importante tener en cuenta que las condiciones de salud individuales pueden afectar lo que se considera normal. Según la Asociación Americana del Corazón, la presión arterial normal se define como una presión sistólica menor de 120 mmHg y una presión diastólica menor de 80 mmHg.",/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_7_es.wav,{}
8,q5_es.wav,¿Cuál era mi presión arterial el 10 de octubre?,What was my blood pressure on October 10th?,Your blood pressure on October 10th was 127/74 mmHg.,Tu presión arterial el 10 de octubre fue de 127/74 mmHg.,/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_8_es.wav,"{""systolic_mmHg"": 127, ""diastolic_mmHg"": 74}"
9,q6_es.wav,¿Cuál era mi presión arterial systólica el 12 de octubre?,What was my systolic blood pressure on October 12th?,Your systolic blood pressure on October 12th was 157 mmHg.,Tu presión arterial sistólica el 12 de octubre fue de 157 mmHg.,/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_9_es.wav,"{""systolic_mmHg"": 157, ""date"": ""2025-10-12""}"
10,q7_es.wav,¿Cuál era mi presión arterial diastólica el 30 de septiembre?,What was my diastolic blood pressure on September 30th?,Your diastolic blood pressure on September 30th was 71 mmHg.,Tu presión arterial diastólica el 30 de septiembre fue de 71 mmHg.,/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_10_es.wav,"{""diastolic_mmHg"": 71}"
11,q8_es.wav,En que día mi presión sistólica superó los 140 mm HG?,On what day did my systolic blood pressure exceed 140 mm Hg?,"Your systolic blood pressure exceeded 140 mm Hg on several days: September 24, September 25, September 26, October 4, October 11, October 12, October 13, and October 14.","Su presión arterial sistólica superó los 140 mm Hg en varios días: 24 de septiembre, 25 de septiembre, 26 de septiembre, 4 de octubre, 11 de octubre, 12 de octubre y 13 de octubre.",/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_11_es.wav,"{""systolic_readings"": [151, 141, 158, 152, 140, 157, 143, 149]}"
12,q9_es.wav,Compare mi presión arterial promedio desde la primera semana hasta la última semana de este mes.,"""Compare my average blood pressure from the first week to the last week of this month.""","In the first week of October, your average blood pressure readings were 120.14 mmHg systolic and 78.14 mmHg diastolic. In the last week of October, your average readings were 116.14 mmHg systolic and 75.14 mmHg diastolic. Overall, your blood pressure decreased slightly from the first week to the last week of October.","En la primera semana de octubre, tus lecturas promedio de presión arterial fueron de 120.14 mmHg sistólica y 78.14 mmHg diastólica. En la última semana de octubre, tus lecturas promedio fueron de 116.14 mmHg sistólica y 75.14 mmHg diastólica. En general, tu presión arterial disminuyó ligeramente de la primera semana a la última semana de octubre.",/content/drive/MyDrive/HealthTequity-LLM/results/tts_audio/answer_12_es.wav,"{""first_week_avg_systolic"": 120.14, ""first_week_avg_diastolic"": 78.14, ""last_week_avg_systolic"": 116.14, ""last_week_avg_diastolic"": 75.14}"
